,company,datePublished,author,headline,description,articleBosy,tags,url,articleBody
0,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/buy-reliance-industries-860-call-vk-sharma-_801415.html,error
1,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/6-stock-ideas-to-livenyour-trade_801305.html,error
2,RI,2012-12-30T12:50:01+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","RIL buys back shares worth Rs. 3,800 crore","Reliance Industries has bought back shares worth over Rs. 3,800 crore from public shareholders since the launch of its share repurchase programme in February -- achieving 37 per cent of the target with less than a month left for its completion.",,", Business, DSP Merrill Lynch, Piramal Healthcare, RIL",https://www.moneycontrol.com//news/business/ril-buys-back-shares-worth-rs-3800-crore_801270.html,"Reliance Industries has bought back shares worth over Rs. 3,800 crore from public shareholders since the launch of its share repurchase programme in February -- achieving 37 per cent of the target with less than a month left for its completion. RIL's repurchase of shares is already the biggest buy-back by an Indian company, after Piramal Healthcare bought back shares to the tune of Rs. 2,508 crore in 2011. RIL's buyback would end on January 19, 2013. According to data available with the exchanges, Reliance Industries (RIL) which began a buyback programme of Rs. 10,440 crore early this year, has so far purchased shares worth Rs. 3,855 crore. This translates to about 37 per cent of the total targeted amount. Between February 14 and December 24, RIL has purchased 4.62 crore shares from the secondary market at an average price of Rs. 834 apiece. RIL's buyback programme had begun on a slow pace, but gained some momentum in May. The programme was announced with an aim to shore up the value of RIL shares, which have underperformed the markets last year and have been mostly trading on a sluggish note in the recent months as well. The stock is currently trading near Rs. 840 level, which is much below the maximum price of Rs. 870 per share fixed for the buyback. According to CNI Research Head Kishor Ostwal, the success of buyback offers depends on many factors like willingness to buy the proposed shares and premium sustainability. &amp;quot;In fact, many corporate houses failed to utilise the entire corpus targeted for the purpose in past and many firms even discontinued buying activities despite shares being available well below maximum buyback price,&amp;quot; he added. &amp;quot;I do not think RIL would complete even 50 percent of the targeted amount and it would aggressively buyback shares in case the price falls drastically,&amp;quot; Ostwal said. Citigroup Global Markets, HSBC Securities &amp;amp;amp; Capital Market and DSP Merrill Lynch are the managers for the offer. "
3,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/buy-pantaloon-retail-futures-for-targetrs-265-thukral_801109.html,error
4,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/fo-market-strategy-for-ril-pantaloon_801106.html,error
5,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/buying-opportunities-seeninfosys-wipro-sukhani_800944.html,error
6,RI,2012-12-28T19:42:24+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Gas producers to be allowed to charge mkt rates: 12th Plan,"Natural-gas producers like Reliance Industries should be allowed to charge market prices, the Plan for next five years adopted by the nation's highest planning body, headed by the Prime Minister, announced.",,"12th Five-Year, Business, National Development Council, natural gas, Reliance Industries",https://www.moneycontrol.com//news/business/gas-producers-to-be-allowed-to-charge-mkt-rates-12th-plan_800937.html,"Natural-gas producers like Reliance Industries should be allowed to charge market prices, the Plan for next five years adopted by the nation's highest planning body, headed by the Prime Minister, announced. The 12th Five-Year (2012-17) Plan adopted by the National Development Council (NDC) on Thursday said, &amp;quot;Natural-gas prices charged to producers must be determined by market forces.&amp;quot; Currently, majority of the natural gas produced in the country is priced at USD 4.2 per million British thermal unit (mBtu), which is almost a third of the rate at which gas in its liquid form, called liquefied natural gas or LNG, is imported. RIL and its partner BP Plc have been pitching for market-based pricing for the natural gas produced from eastern offshore KG-D6 fields. &amp;quot;The concept of a uniform gas price across consuming sectors also needs to be examined afresh as the desire to keep prices low for certain sectors tends to distort pricing; it is inconsistent with the principle that the price of gas will be determined by market forces,&amp;quot; it said. Addressing the NDC, Prime Minister Manmohan Singh stated that natural gas and coal and other liquid-fuel rates in India were &amp;quot;well below international prices&amp;quot;. &amp;quot;If domestic energy prices are too low, there will be no incentive to increase energy efficiency or to expand supply,&amp;quot; he had said. &amp;quot;Immediate adjustment of prices to close the gap is not feasible, but some phased price adjustment is necessary.&amp;quot; The demand for natural gas, the 12th Plan document said, will increase from 194 million standard cubic metres per day in 2011-12 to 286 mmscmd in the current fiscal. This is expected to rise to 466 mmscmd by the end of the 12th Five-Year Plan in 2016-17. The Plan document said there was a need for clarity on fiscal incentives on exploration of natural gas under the New Exploration and Licensing Policy (NELP). Currently, a seven-year holiday from payment of income tax is available only for crude oil produced from an area awarded under NELP. Natural gas produced from the same well does not attract any tax incentive. It called for according a'declared goods status' for natural gas/LNG so that it is available at uniform prices in most states. The Plan document called for eliminating &amp;quot;the uncertainty that has arisen regarding gas-pricing from NELP production-sharing contracts by implementing a new design of contracts&amp;quot;. &amp;quot;The recommendation of the Rangarajan Committee may be an important input in finalising this policy,&amp;quot; it said. &amp;quot;Appropriate steps should be taken to resolve conflicts in existing contracts where the interpretation of the contract term is open to multiple options.&amp;quot;"
7,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/positivemkt-target6100-6150nifty-tulsian_800895.html,error
8,RI,2012-12-28T17:00:46+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Year 2013: 11 stocks that can give you handsome returns ,"Moneycontrol.com got AK Prabhakar, senior VP-equity research, Anand Rathi to answer the stock queries you sent us on our Facebook page as part of KYI (Know Your Investment). Check out his comments.",,"AK Prabhakar, Anand Rathi, Arvind, Bajaj Corp, Bayer cropscinece, Bharat Forge, Bharti Airtel, Cadila, Colgate, Coromandel International, Emami, Hexaware, HSIL, ICICI Bank, Idea, Infosys, JK Cement, Karur Vysya Bank, Karur Vysys Bank, L&T Finance Holdings, Mahindra and Mahindra, Natco Pharma, Proctar & Gamble, Provogue, Raymond, Reliance Capital, Reliance Industries, Shopper Stop, SKS Microfinance, Speciality Restaurants, State Bank of India, Stocks Views, Tata Chemicals, Tata Global, Tata Motors (DVR), Thermax",https://www.moneycontrol.com//news/stocks-views/year-2013-11-stocks-that-can-give-you-handsome-returns-_800823.html,"Year 2012 has been spectacular for the Indian market. The Sensex has rallied around 25 percent. Going into 2013, experts have high hopes on the stock market. Moneycontrol.com got AK Prabhakar, senior VP-equity research, Anand Rathi to answer the stock queries you sent us on our Facebook page as part of KYI (Know Your Investment). Check out his comments. Ratheesh Baskaran: Can you tell us your top picks for 2013?  A K Prabhakar: Thermax, Bharat Forge, Speciality Restaurants, HSIL,Reliance Capital, SKS Microfinance, Bayer Cropscience,&amp;amp;nbsp; Cadila, Coromandel International and Raymond. Arvind Singh: What is your call on State Bank of India (SBI)?  A K Prabhakar: We prefer private banks than PSU banks. SBI, being the largest PSU banks,&amp;amp;nbsp;still has its overhang of asset quality issues. Therefore, we like Karur Vysya Bank better than SBI.  Nitin Agarwal: What about Reliance Industries (RI)? A K Prabhakar:&amp;amp;nbsp;In the short-term to medium-term, the pressure is likely to continue. But post FY14 the stock can become outperformer. So, if your view is for the long-term, you may hold. Bhushan Mulay: Can I buy Bharti Airtel now? A K Prabhakar: We are cautious on telecom as a whole sector mainly due to the regulatory issues. We prefer Idea to Bharti Airtel mainly it being an India specific player.  Chirag CJ Patel: What is your call on ICICI Bank? A K Prabhakar:&amp;amp;nbsp;The stock is attractive. With&amp;amp;nbsp;a&amp;amp;nbsp;two-year perspective, it should outperform as&amp;amp;nbsp;it has been growing continously and has also kept a check on the asset quality issue.  Saravanan Rg: Can you give us your top picks for the short-term? A K Prabhakar:&amp;amp;nbsp;Karur Vysys Bank, Tata Chemicals, Bajaj Corp, Natco Pharma and JK Cement. _PAGEBREAK_ Nikhil Gupta: What is your view on Tata Global for this month? A K Prabhakar:&amp;amp;nbsp;Stock looks weak as Rs 150 on lower side is possible. Neeraj Aggarwal: I have bought Infosys at Rs 2,356. What should I do&amp;amp;nbsp; now? A K Prabhakar:&amp;amp;nbsp;Infosys, if your view is for more than a year, then you may hold. The&amp;amp;nbsp;short-term pressure&amp;amp;nbsp;will conitnue on uncertain global markets (US/ Europe), expectations of muted Q3 results (Jan 11,2013) and guidance downgrade. But one can accumulate the stock at lower levels as well for longer term perspective.  Rahul Chaudhary: What is your six-month target on Tata Motors DVR? A K Prabhakar:&amp;amp;nbsp;You may see Rs 195 levels in Tata Motors DVR.  Jugal Kishore: What is your view on FMCG stocks? A K Prabhakar:&amp;amp;nbsp;FMCG stocks have been outperforming for long in the market. But, at these levels, the valuations look stretched, so, being stock specific is important.We like Bajaj Corp, Emami, Colgate and Proctar &amp;amp;amp; Gamble.&amp;amp;nbsp;  Bruno Dsouza: What about Hexaware? A K Prabhakar:&amp;amp;nbsp;Hexaware has corrected from Rs 140 to Rs 84 levels, some more correction can make it more attractive.  Kishore Tirumala: I have 300 shares of L&amp;amp;amp;T Finance Holdings. Can I hold for long-term? A K Prabhakar:&amp;amp;nbsp;You can hold L&amp;amp;amp;T Finance for the long-term as it has strong parentage. It has been&amp;amp;nbsp;a fastest growing NBFC, 50% CAGR for the last&amp;amp;nbsp;three years. Bruno Dsouza: What is your call on Provogue (India)? A K Prabhakar: There are btter stocks in retail sector. We like Arvind, Shopper Stop and Raymond. Jani Mayur: I have 30 shares of Mahindra and Mahindra 30 at Rs 945. What should I do? A K Prabhakar:&amp;amp;nbsp;You may hold the stock as it is one of the best play in auto business with multiple interest. Dr.jayesh Gaygol: What is your short-term view on HSIL? A K Prabhakar:&amp;amp;nbsp;It is one the largest sanitaryware manufacturer with strong brand presence and distribution network. It is also consolidating its&amp;amp;nbsp;performance in subsidiary with expansion plans very well on track. We like the stock for longer term perspective with a target price of Rs 180. In the&amp;amp;nbsp;short-term, we may see levels like Rs 152 and Rs 165 in the stock. "
9,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/buy-reliance-ongc-sukhani_800747.html,error
