,company,datePublished,author,headline,description,articleBosy,tags,url,articleBody
0,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/reliance-industries-may-outperform-siddarth-bhamre_4815581.html,error
1,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/ril-has-resistance-at-around-rs-1040-1050-shubham-agarwal_4808801.html,error
2,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/hemant-thukral-positivereliance-industries-ongc_4807321.html,error
3,RI,2015-12-30T14:24:04+05:30,"{'@type': 'Person', 'name': 'Devika Ghosh'}",Jio impact: Telcos on a shopping spree?,"Among the major telecom companies in India, only Reliance Jio and Bharti Airtel have airwaves in the 2300 MHz band",,"4G, Bharti Airtel, Business, France Telecom, Harbinger Capital, Himanshu Kapania, Idea Cellular, India, Jio, New Silk Route, Reliance Industries, reliance jio, Sanjay Kapoor, Spectrum, Telecom, Tikona, Vodafone",https://www.moneycontrol.com//news/business/jio-impact-telcos-onshopping-spree_4793601.html,"Soon after the soft launch of Jio on&amp;amp;nbsp;Sunday, the Indian telecom space is abuzz with action.&amp;amp;nbsp;Vodafone is tipped to be in talks to buy the entire 4G spectrum of Tikona &amp;amp;mdash; airwaves in 2300 Mhz band. Though, to be fair, consolidation in the telecom space began hotting up soon after the government approved spectrum sharing between telecom companies in September this year. However, if the deal does go through, it will help Vodafone double its geographical 4G presence from the five circles it currently has. The Economic Times reports Tikona had bought 2300 MHz (4G) spectrum in the 2010 auctions in Gujarat, Himachal Pradesh, UP (East), UP (West) and Rajasthan for over Rs 1,058 crore. Vodafone on the other hand does not have 4G airwaves in that band. It will be deploying its high-speed broadband services over the 1800 MHz band across five circles of Delhi, Mumbai, Kolkata, Karnataka and Kerala. India's second-largest telecom service provider has launched 4G services across 10 towns in Kerala only. Among the major telecom companies in India, only Reliance Jio and Bharti Airtel have airwaves in the 2300 MHz band. Meanwhile, in a bid to further consolidate its 4G footprint, Bharti Airtel too has acquired 74 percent stake in Augere Wireless Broadband India. Augere, owned by France Telecom and private equity funds such as Harbinger Capital and New Silk Route, had won 20 MHz of 4G spectrum in the 2300 MHz band in the Madhya Pradesh-Chhattisgarh circle in the 2010 auction. Airtel has already launched 4G services across 350 towns and cities in India. Currently, Bharti Airtel has 4G spectrum in 15 circles (combination of 1800 and 2300 MHz band). Idea Cellular too has launched 4G services across South India on 1800 MHz band. The company hopes to cover all towns and cities in Andhra Pradesh, Karnataka, Kerala, Tamil Nadu and Telangana by March 2016. The company too is on a buying spree and recently acquired Videocon Telecom's spectrum in Uttar Pradesh (West) and Gujarat circles. In an earlier interview with CNBC-TV18, the company's managing director Himanshu Kapania had said that this acquisition will take Idea's 4G footprint from 10 to 12 circles. One of the reasons behind the consolidation wave&amp;amp;nbsp;may be because Reliance owns the second-largest amount of spectrum after Bharti Airtel. It has also set up a 2.5 lakh kilometre optic fibre network route connecting 18,000 towns across India already.However, former Airtel CEO Sanjay Kapoor cautions that while Reliance&amp;amp;nbsp;has got its first act right &amp;amp;mdash; putting a lot of effort into getting its network right, the challenge for telecom players across the globe is getting a glitch-free network, which&amp;amp;nbsp;is a trial and error process and it could take at least two years to perfect it."
4,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/reliance-industries-may-touch-rs-1028-rajat-bose_4773781.html,error
5,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/business/quality-to-matter-more-than-price4g-services-experts_4772861.html,error
6,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/buy-ril-hero-motocorp-lupin-sudarshan-sukhani_4758241.html,error
7,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/accumulate-reliance-industries-says-ajay-bodke-_4754461.html,error
8,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/stocks-views/buy-reliance-industriesdips-says-rajat-bose_4754381.html,error
9,RI,error,error,error,error,,error,https://www.moneycontrol.com//news/business/customer-satisfaction-critical-for-reliance-now-equirus_4754221.html,error
